"TIME","Z1","Z2","Z3","MD","FU","ESS","ES1","ES2","ES3","SP","DZ1","DZ2","DZ3","F2A","F2L","EFT","SEQ","SEQF","BIGD","DEBUG.FU","DEBUG.GAMMA","DEBUG.ES3"
"50",935771,-0.0952254615713928,-0.0559010881171966,0.133870776799386,4.42730812369474e-08,4473.85550203519,9.89595690267761e-12,1.8488630548473e-14,9.87746827212914e-12,0,9.96780045238679e-13,-2.915184875375e-08,-1.88118726736577e-08,4.42631852800447e-08,-0.65844056069471,-0.424895864944666,0.000987284145975589,5.63059978522676,5.78402540875446,8.40675977322971,-1,1,-1
"51",986291,-0.0966948644633902,-0.0568252134242529,0.136072611338959,4.29342946274377e-08,4763.96530933777,9.01230211380484e-12,1.66812577713295e-14,8.99562085603351e-12,0,8.58269110436497e-13,-2.90366403139921e-08,-1.77782947041661e-08,4.29252823253239e-08,-0.676290600011503,-0.414073166270138,0.000933412177903542,5.65148112494053,5.67684834005068,8.4696147744601,-1,1,-1
"52",1045531,-0.0983451891704998,-0.0578621751742388,0.13854454813021,4.05510369715049e-08,5354.46660434724,7.57331027867126e-12,1.3776504847673e-14,7.55953377382358e-12,0,7.02362909627159e-13,-2.66945167920111e-08,-1.72316084834393e-08,4.05434636612262e-08,-0.658282905496896,-0.424928961525841,0.000840914389509713,5.64836023547888,5.48277047963997,8.58651449078655,-1,1,-1
"53",1106291,-0.0999116589440615,-0.058884228622229,0.140937062296782,3.82355199116746e-08,6038.91976631239,6.33151646176328e-12,1.13135437543895e-14,6.32020291800889e-12,0,5.60988755830997e-13,-2.49031539885356e-08,-1.64056269749593e-08,3.82291883952128e-08,-0.65129985610673,-0.429061414993885,0.000755254619514058,5.6271830282671,5.28989763243857,8.70686204110002,-1,1,-1
"54",1172932,-0.101550482084115,-0.059950324611821,0.143436377439945,3.67909262545125e-08,6533.98594264453,5.63070177644458e-12,9.94417774534374e-15,5.62075759869924e-12,0,4.27609857154635e-13,-2.42815358328694e-08,-1.55937475368961e-08,3.6785295552736e-08,-0.659979405008653,-0.423842721156228,0.000703933592691829,5.67115533703779,5.16725667203276,8.7856908512911,-1,1,-1
"55",1240973,-0.103160506162498,-0.0609824343645083,0.145873293830395,3.48631779287347e-08,7294.47049445686,4.77939803241752e-12,8.30375133128566e-15,4.77109428108623e-12,0,2.92815696607529e-13,-2.30513770030784e-08,-1.47500269626078e-08,3.48583985307023e-08,-0.661189965051324,-0.42307970628437,0.000638007194804426,5.66414076936022,5.00062932281617,8.89584415608643,-1,1,-1
"56",1310373,-0.104718392890971,-0.061981661646586,0.14823381416327,3.31773833981813e-08,8072.79491332453,4.10977657111299e-12,7.03357755065798e-15,4.10274299356233e-12,0,1.44131547627155e-13,-2.18447775083951e-08,-1.40419777982267e-08,3.31732736216102e-08,-0.658420899171012,-0.42323762027307,0.000582772922115061,5.66181568828219,4.85194563382685,8.99727956485253,-1,1,-1
"57",1393173,NA,NA,0.150895987880798,3.11458479359843e-08,9186.56590350415,3.39036896519775e-12,5.69198159948841e-15,3.38467698359826e-12,0,NA,NA,NA,3.11424575670191e-08,-0.647004062725373,-0.422098757132914,0.000519236380598285,5.58255634366852,4.66879181748832,9.12659250859621,-1,NA,-1
"58",1478573,NA,NA,0.153489911943121,2.96191958320581e-08,10181.0733635848,2.90924097826451e-12,4.81018381328942e-15,2.90443079445122e-12,0,NA,NA,NA,2.96162865910798e-08,-0.64980922570344,-0.413343056544065,0.000473686924447551,5.52798526351669,4.52807143829001,9.22944011657592,-1,NA,-1
"59",1544733,NA,NA,0.155408162148255,2.83803464288259e-08,11110.6768496772,2.5543310108646e-12,4.16887725764339e-15,2.55016213360695e-12,0,NA,NA,NA,2.83777920978151e-08,-0.636896428580447,-0.415386661127187,0.000438122394660218,5.48370175174811,4.41178786710589,9.31686905474784,-1,NA,-1
